timestamp,emotion_label,s1,s2,s3,s4,s5,s6,s7,s8,muscle_name
1747580917,happy,442,1,31,39,55,18,13,216,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,52,21,22,43,14,14,25,467,Orbicularis oculi
1747580917,happy,215,3,47,25,30,21,30,40,Zygomaticus Major
1747580917,happy,453,31,32,49,45,19,48,435,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,509,18,56,31,53,10,20,397,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,15,18,8,9,12,9,4,209,Orbicularis oculi
1747580917,happy,302,40,1,29,40,18,37,25,Zygomaticus Major
1747580917,happy,553,18,26,34,9,44,17,34,Zygomaticus Major
1747580917,happy,239,44,54,22,10,13,32,189,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,557,4,23,20,18,23,29,243,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,442,38,19,19,29,37,50,440,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,333,23,41,46,28,23,25,35,Zygomaticus Major
1747580917,happy,615,14,46,6,7,29,34,14,Zygomaticus Major
1747580917,happy,499,39,34,51,53,24,22,42,Zygomaticus Major
1747580917,happy,415,28,30,22,57,25,54,202,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,622,53,21,28,26,17,21,49,Zygomaticus Major
1747580917,happy,287,8,24,48,32,33,50,425,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,460,28,54,44,19,36,54,42,Zygomaticus Major
1747580917,happy,594,45,21,25,28,18,44,216,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,434,36,36,15,29,19,29,35,Zygomaticus Major
1747580917,happy,24,23,4,51,46,9,35,616,Orbicularis oculi
1747580917,happy,232,44,53,27,19,24,25,45,Zygomaticus Major
1747580917,happy,448,24,26,45,46,26,45,611,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,429,50,29,57,40,44,37,9,Zygomaticus Major
1747580917,happy,583,16,24,57,31,42,29,288,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,229,15,24,13,46,40,31,43,Zygomaticus Major
1747580917,happy,545,29,50,53,40,28,34,441,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,241,38,39,24,16,44,35,272,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,489,20,32,50,21,16,45,204,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,12,30,31,30,41,31,33,534,Orbicularis oculi
1747580917,happy,415,7,45,18,13,8,51,436,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,14,46,35,6,11,28,14,191,Orbicularis oculi
1747580917,happy,588,19,31,9,50,6,25,468,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,426,7,23,19,41,14,49,586,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,628,17,17,13,34,51,41,404,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,603,15,47,33,24,44,25,380,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,18,31,9,11,31,20,18,292,Orbicularis oculi
1747580917,happy,373,21,50,24,48,8,39,605,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,21,24,52,18,42,50,12,556,Orbicularis oculi
1747580917,happy,388,41,49,24,23,33,24,38,Zygomaticus Major
1747580917,happy,29,23,19,32,56,44,12,515,Orbicularis oculi
1747580917,happy,369,16,39,41,52,10,14,221,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,594,19,14,54,23,49,43,367,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,506,41,26,35,40,46,20,363,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,274,34,48,40,51,26,39,419,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,593,33,11,51,12,21,28,464,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,309,53,27,13,28,49,32,38,Zygomaticus Major
1747580917,happy,299,35,57,48,49,39,43,575,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,313,54,47,20,29,53,36,344,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,543,24,8,50,3,45,51,54,Zygomaticus Major
1747580917,happy,534,54,7,16,12,47,10,384,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,529,43,53,30,18,57,16,302,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,35,27,11,46,58,40,55,480,Orbicularis oculi
1747580917,happy,527,55,54,32,11,12,16,35,Zygomaticus Major
1747580917,happy,20,19,23,56,35,11,3,333,Orbicularis oculi
1747580917,happy,360,22,9,54,20,48,10,422,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,582,11,35,48,35,18,38,468,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,484,44,50,5,44,28,36,45,Zygomaticus Major
1747580917,happy,499,50,28,56,22,42,14,308,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,466,23,31,19,48,8,14,473,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,328,15,13,17,54,48,61,11,Zygomaticus Major
1747580917,happy,364,15,34,20,12,29,14,464,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,37,4,33,36,8,9,29,203,Orbicularis oculi
1747580917,happy,232,12,33,16,21,32,36,420,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,563,39,22,43,13,40,45,428,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,55,28,22,52,46,21,7,365,Orbicularis oculi
1747580917,happy,39,4,14,14,32,13,34,201,Orbicularis oculi
1747580917,happy,604,38,21,27,29,6,22,16,Zygomaticus Major
1747580917,happy,279,8,21,27,52,12,34,44,Zygomaticus Major
1747580917,happy,445,15,21,33,15,51,4,408,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,577,8,32,6,57,7,11,8,Zygomaticus Major
1747580917,happy,200,26,53,35,14,37,4,464,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,27,24,56,53,18,23,40,263,Orbicularis oculi
1747580917,happy,251,23,23,18,11,15,18,12,Zygomaticus Major
1747580917,happy,203,36,15,49,15,43,33,47,Zygomaticus Major
1747580917,happy,285,11,20,41,7,19,41,371,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,206,55,26,38,29,54,39,218,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,370,6,16,50,49,16,24,41,Zygomaticus Major
1747580917,happy,364,44,45,20,43,47,14,28,Zygomaticus Major
1747580917,happy,580,35,32,34,54,31,35,205,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,366,14,32,18,57,7,19,593,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,430,25,9,35,42,33,52,438,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,198,22,22,22,43,51,16,18,Zygomaticus Major
1747580917,happy,44,17,5,37,46,12,47,340,Orbicularis oculi
1747580917,happy,240,25,17,15,12,29,48,323,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,11,33,50,12,39,9,15,577,Orbicularis oculi
1747580917,happy,611,33,26,38,25,50,50,402,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,411,6,13,25,29,54,46,235,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,553,8,50,17,40,47,51,392,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,53,52,16,42,37,49,23,438,Orbicularis oculi
1747580917,happy,282,45,13,12,45,33,32,252,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,466,43,53,34,52,25,45,510,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,15,28,8,12,40,45,14,506,Orbicularis oculi
1747580917,happy,55,41,44,27,25,24,38,421,Orbicularis oculi
1747580917,happy,230,49,48,30,14,43,3,430,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,49,47,42,40,23,32,54,612,Orbicularis oculi
1747580917,happy,245,55,34,48,34,46,39,333,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,14,50,25,8,32,52,30,425,Orbicularis oculi
1747580917,happy,212,33,34,41,8,51,12,344,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,19,13,58,13,19,34,40,373,Orbicularis oculi
1747580917,happy,40,41,38,18,15,37,10,249,Orbicularis oculi
1747580917,happy,283,14,15,18,47,19,33,453,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,346,26,44,40,18,12,8,628,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,21,24,12,17,22,50,6,456,Orbicularis oculi
1747580917,happy,320,9,30,39,56,46,42,408,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,579,26,13,54,42,13,49,518,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,447,43,43,13,35,44,33,38,Zygomaticus Major
1747580917,happy,272,49,39,56,24,12,9,58,Zygomaticus Major
1747580917,happy,601,50,9,22,5,12,47,297,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,426,55,24,47,30,6,45,524,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,479,27,40,7,10,12,35,9,Zygomaticus Major
1747580917,happy,398,47,26,36,38,41,6,9,Zygomaticus Major
1747580917,happy,35,21,17,16,36,6,46,484,Orbicularis oculi
1747580917,happy,40,4,6,30,28,54,8,264,Orbicularis oculi
1747580917,happy,560,21,8,46,38,46,13,53,Zygomaticus Major
1747580917,happy,236,51,19,39,47,28,36,10,Zygomaticus Major
1747580917,happy,433,50,33,9,26,28,17,13,Zygomaticus Major
1747580917,happy,570,36,8,18,25,54,54,300,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,441,55,37,34,9,29,56,55,Zygomaticus Major
1747580917,happy,15,18,7,23,36,48,22,599,Orbicularis oculi
1747580917,happy,608,27,58,5,1,47,44,347,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,288,56,21,37,40,14,37,25,Zygomaticus Major
1747580917,happy,448,34,55,50,41,42,35,44,Zygomaticus Major
1747580917,happy,338,37,49,28,4,26,17,195,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,28,32,17,7,28,47,8,310,Orbicularis oculi
1747580917,happy,571,45,43,29,14,48,48,53,Zygomaticus Major
1747580917,happy,557,3,4,18,21,35,45,8,Zygomaticus Major
1747580917,happy,589,53,55,22,31,56,31,30,Zygomaticus Major
1747580917,happy,622,13,36,10,13,38,6,498,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,29,30,12,26,51,25,56,378,Orbicularis oculi
1747580917,happy,543,10,39,32,17,16,5,397,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,48,28,26,23,53,21,28,562,Orbicularis oculi
1747580917,happy,46,11,33,5,14,7,37,334,Orbicularis oculi
1747580917,happy,264,27,29,22,52,10,26,37,Zygomaticus Major
1747580917,happy,500,26,51,41,14,7,18,297,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,316,20,15,25,20,43,28,571,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,6,46,15,13,30,57,45,518,Orbicularis oculi
1747580917,happy,310,21,52,48,41,39,38,29,Zygomaticus Major
1747580917,happy,485,46,28,48,54,48,39,22,Zygomaticus Major
1747580917,happy,16,10,49,18,29,7,33,495,Orbicularis oculi
1747580917,happy,558,20,22,31,40,34,32,363,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,563,33,5,12,30,54,47,375,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,44,27,17,54,57,8,41,223,Orbicularis oculi
1747580917,happy,618,10,49,6,16,38,5,56,Zygomaticus Major
1747580917,happy,248,56,28,51,37,8,25,12,Zygomaticus Major
1747580917,happy,243,8,19,41,35,23,15,32,Zygomaticus Major
1747580917,happy,535,54,11,19,29,45,6,30,Zygomaticus Major
1747580917,happy,11,38,17,32,53,34,19,195,Orbicularis oculi
1747580917,happy,211,33,32,23,13,5,51,362,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,554,0,46,28,30,43,21,17,Zygomaticus Major
1747580917,happy,218,43,15,31,56,13,13,420,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,19,36,51,57,32,15,31,433,Orbicularis oculi
1747580917,happy,558,40,47,26,12,13,24,43,Zygomaticus Major
1747580917,happy,13,32,32,30,39,7,58,511,Orbicularis oculi
1747580917,happy,536,48,41,49,10,58,8,38,Zygomaticus Major
1747580917,happy,529,38,34,33,44,31,17,551,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,341,42,53,8,43,46,42,529,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,498,37,35,54,8,47,30,36,Zygomaticus Major
1747580917,happy,31,38,18,17,31,47,25,578,Orbicularis oculi
1747580917,happy,384,23,15,21,26,27,32,7,Zygomaticus Major
1747580917,happy,39,49,58,11,20,23,7,305,Orbicularis oculi
1747580917,happy,26,29,6,37,41,30,37,331,Orbicularis oculi
1747580917,happy,270,39,20,56,20,8,14,260,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,597,6,52,52,35,34,27,372,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,517,38,29,12,21,23,32,596,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,3,11,10,9,8,32,57,442,Orbicularis oculi
1747580917,happy,454,34,17,50,28,22,40,55,Zygomaticus Major
1747580917,happy,240,30,5,30,30,55,34,399,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,541,22,53,10,23,7,3,33,Zygomaticus Major
1747580917,happy,265,51,3,19,32,48,38,528,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,487,6,26,18,15,33,24,51,Zygomaticus Major
1747580917,happy,453,22,24,26,51,37,26,319,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,505,35,40,20,20,29,32,249,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,522,46,27,54,6,40,55,17,Zygomaticus Major
1747580917,happy,515,36,58,46,53,31,22,258,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,588,33,6,55,31,48,47,348,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,614,23,37,55,33,28,32,450,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,547,46,35,48,38,39,30,486,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,363,54,48,18,6,23,56,616,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,318,42,57,9,36,52,41,522,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,41,13,25,16,40,15,7,279,Orbicularis oculi
1747580917,happy,6,46,27,12,43,13,47,228,Orbicularis oculi
1747580917,happy,577,0,53,12,38,23,17,262,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,469,54,55,24,34,5,26,39,Zygomaticus Major
1747580917,happy,565,5,49,7,46,54,30,524,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,506,20,33,32,25,52,50,415,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,404,33,30,39,47,18,32,438,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,189,34,10,34,33,16,49,616,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,41,29,49,8,36,56,24,470,Orbicularis oculi
1747580917,happy,590,54,51,6,52,10,56,611,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,263,52,10,48,8,38,16,554,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,367,18,52,17,10,33,36,254,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,331,36,26,57,58,22,51,584,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,263,54,54,14,17,48,13,18,Zygomaticus Major
1747580917,happy,249,25,22,46,34,21,37,411,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,396,24,8,20,25,30,38,238,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,417,34,53,5,8,19,46,249,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,212,40,14,35,22,46,2,45,Zygomaticus Major
1747580917,happy,427,12,12,29,21,46,31,34,Zygomaticus Major
1747580917,happy,23,45,40,33,45,29,22,577,Orbicularis oculi
1747580917,happy,557,53,5,46,9,54,37,328,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,231,26,46,56,33,22,38,214,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,541,44,16,44,38,42,42,203,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,315,21,32,23,44,57,32,461,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,49,13,40,11,37,25,56,220,Orbicularis oculi
1747580917,happy,323,34,11,8,13,5,42,293,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,50,33,50,52,22,32,39,572,Orbicularis oculi
1747580917,happy,267,34,38,41,7,8,8,491,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,434,9,47,9,10,35,16,560,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,406,29,22,9,7,21,56,450,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,359,26,18,33,37,10,6,500,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,341,38,48,17,49,11,7,376,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,54,56,48,29,23,5,57,504,Orbicularis oculi
1747580917,happy,188,11,13,43,8,29,40,439,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,435,35,41,21,18,38,22,214,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,279,45,22,5,18,47,31,31,Zygomaticus Major
1747580917,happy,498,45,9,40,57,44,48,601,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,572,9,46,13,2,15,7,318,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,232,22,19,25,21,35,19,14,Zygomaticus Major
1747580917,happy,196,51,39,25,16,38,19,464,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,292,15,60,47,28,19,12,533,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,215,20,16,8,31,56,43,301,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,304,41,31,6,35,51,52,248,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,464,25,48,58,45,15,39,339,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,592,30,43,20,7,11,26,546,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,471,37,20,8,13,55,40,382,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,53,39,25,34,33,6,9,592,Orbicularis oculi
1747580917,happy,312,28,17,52,54,13,25,13,Zygomaticus Major
1747580917,happy,255,40,28,39,18,55,24,288,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,579,47,11,11,11,19,6,26,Zygomaticus Major
1747580917,happy,30,40,55,31,28,18,18,265,Orbicularis oculi
1747580917,happy,360,52,32,34,42,50,31,36,Zygomaticus Major
1747580917,happy,244,19,48,33,38,33,13,13,Zygomaticus Major
1747580917,happy,43,40,31,56,36,8,43,222,Orbicularis oculi
1747580917,happy,15,20,7,36,13,28,40,306,Orbicularis oculi
1747580917,happy,10,41,9,12,19,44,41,450,Orbicularis oculi
1747580917,happy,19,53,43,38,17,35,20,232,Orbicularis oculi
1747580917,happy,246,6,21,39,21,48,17,310,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,291,31,28,28,25,45,41,478,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,199,52,55,56,36,11,44,253,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,589,53,26,38,21,14,13,394,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,32,26,43,18,47,31,39,331,Orbicularis oculi
1747580917,happy,283,6,50,23,39,55,27,365,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,565,10,51,19,6,52,46,452,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,13,14,27,33,40,8,32,466,Orbicularis oculi
1747580917,happy,36,21,25,15,38,10,19,613,Orbicularis oculi
1747580917,happy,46,18,51,28,22,56,30,543,Orbicularis oculi
1747580917,happy,377,42,37,20,51,47,21,554,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,236,5,55,18,8,40,49,599,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,277,39,16,20,55,32,40,574,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,366,49,4,38,13,55,36,407,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,293,41,42,17,22,35,9,597,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,600,18,31,14,16,53,28,348,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,193,21,6,28,43,6,16,33,Zygomaticus Major
1747580917,happy,33,56,8,24,16,27,50,228,Orbicularis oculi
1747580917,happy,572,28,40,11,43,38,39,568,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,31,13,24,17,8,44,44,485,Orbicularis oculi
1747580917,happy,273,39,44,51,54,42,14,228,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,439,16,47,7,10,54,36,426,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,540,10,31,40,11,9,41,193,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,306,43,12,21,29,30,15,450,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,262,15,52,58,12,52,27,534,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,582,40,38,9,33,49,43,299,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,417,32,28,17,31,14,52,344,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,317,33,8,18,25,16,32,273,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,577,26,30,52,5,52,35,44,Zygomaticus Major
1747580917,happy,190,25,39,50,12,17,5,478,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,508,9,47,5,22,18,16,41,Zygomaticus Major
1747580917,happy,472,34,36,26,25,7,9,56,Zygomaticus Major
1747580917,happy,276,48,47,14,37,18,6,461,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,337,39,40,52,54,54,32,23,Zygomaticus Major
1747580917,happy,37,8,17,39,17,11,33,553,Orbicularis oculi
1747580917,happy,241,19,17,53,30,49,7,2,Zygomaticus Major
1747580917,happy,523,39,19,20,51,41,30,608,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,14,18,19,5,36,22,7,318,Orbicularis oculi
1747580917,happy,377,48,32,50,28,29,33,593,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,29,48,19,7,13,14,33,612,Orbicularis oculi
1747580917,happy,431,53,31,24,38,6,35,21,Zygomaticus Major
1747580917,happy,319,11,61,28,47,54,14,242,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,58,23,53,47,18,32,51,301,Orbicularis oculi
1747580917,happy,222,47,42,39,45,22,22,22,Zygomaticus Major
1747580917,happy,564,9,25,36,47,11,30,438,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,214,36,20,26,37,53,17,22,Zygomaticus Major
1747580917,happy,426,44,5,37,45,12,24,496,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,526,55,5,40,23,17,49,588,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,352,6,18,21,18,7,20,511,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,11,45,22,35,43,9,56,307,Orbicularis oculi
1747580917,happy,435,28,21,25,15,40,9,254,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,430,12,39,10,37,29,47,11,Zygomaticus Major
1747580917,happy,312,16,53,15,49,49,42,354,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,377,50,8,31,55,46,29,552,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,310,22,34,54,12,11,21,406,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,445,31,3,52,46,14,24,509,"Orbicularis oculi, Zygomaticus Major"
